corrected_name,standardized_name,id
Large Pied Wagtail,White-browed Wagtail (Large Pied Wagtail) - Motacilla maderaspatensis,whbwag1
Golden Oriole,Indian Golden Oriole - Oriolus kundoo,ingori1
House Sparrow,House Sparrow - Passer domesticus,houspa
Flowerpecker,Pale-billed Flowerpecker - Dicaeum erythrorhynchos,pabflo1
Large Cuckooshrike,Large Cuckooshrike - Coracina macei,larcus1
White-breasted Waterhen,White-breasted Waterhen - Amaurornis phoenicurus,whbwat1
Hoopoe,Eurasian Hoopoe - Upupa epops,hoopoe
Indian Pitta,Indian Pitta - Pitta brachyura,indpit1
Alpine Swift,Alpine Swift - Tachymarptis melba,alpswi1
Palm Swift,Asian Palm Swift - Cypsiurus balasiensis,aspswi1
Alpine swift,Alpine Swift - Tachymarptis melba,alpswi1
Black-headed munia,Tricolored Munia (Black-headed Munia) - Lonchura malacca,trimun
Blossom-headed Parakeet,Blossom-headed Parakeet - Psittacula roseata,blhpar3
Tawny Eagle,Tawny Eagle - Aquila rapax,taweag1
crested honey buzzard,Oriental Honey-buzzard (Crested Honey Buzzard) - Pernis ptilorhynchus,orihob2
Yellow-eyed Babbler,Yellow-eyed Babbler - Chrysomma sinense,yeebab1
grey wagtail,Grey Wagtail - Motacilla cinerea,grywag
Blue Throated Flycatcher,Blue-throated Flycatcher - Cyornis rubeculoides,butfly1
Emerald Dove,Asian Emerald Dove - Chalcophaps indica,emedov2
Egret,Little Egret - Egretta garzetta,litegr
Egret,Eastern Cattle Egret - Bubulcus coromandus,categr2
Egret,Great Egret - Ardea alba,greegr
Egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
Lesser Whitethroat,Lesser Whitethroat - Curruca curruca,leswhi4
Black-backed woodpecker,Black-backed Woodpecker - Picoides arcticus,bkbwoo
Brown Flycatcher,Asian Brown Flycatcher - Muscicapa dauurica,asbfly
Chloropsis,Golden-fronted Leafbird (Golden-fronted Chloropsis) - Chloropsis aurifrons,goflea1
Red-breasted Flycatcher,Red-breasted Flycatcher - Ficedula parva,rebfly
Black-headed cuckooshrike,Black-headed Cuckooshrike - Lalage melanoptera,bkhcus1
great horned owl,Great Horned Owl - Bubo virginianus,grhowl
Honey Buzzard,Oriental Honey-buzzard (Crested Honey Buzzard) - Pernis ptilorhynchus,orihob2
Brown Fish Owl,Brown Fish-Owl - Ketupa zeylonensis,brfowl1
Jungle Bush Quail,Jungle Bush-Quail - Perdicula asiatica,jubqua1
Common Babbler,Common Babbler - Argya caudata,combab3
Small Minivet,Small Minivet - Pericrocotus cinnamomeus,smamin1
grey tit,Grey Tit - Melaniparus afer,grytit1
Blue-bearded Bee-eater,Blue-bearded Bee-eater - Nyctyornis athertoni,bbbeat1
B Shrike,Brown Shrike - Lanius cristatus,brnshr
Bush Quail,Jungle Bush-Quail - Perdicula asiatica,jubqua1
Scarlet Minivet,Scarlet Minivet - Pericrocotus speciosus,scamin1
grey partridge,Grey Partridge - Perdix perdix,grypar
