corrected_name,standardized_name,id
Sunbird,Olive-backed Sunbird (Ornate Sunbird) - Cinnyris ornatus,olbsun4
Sunbird,Tukangbesi Sunbird - Cinnyris infrenatus,olbsun23
Sunbird,Sahul Sunbird - Cinnyris frenatus,olbsun2
Sunbird,Garden Sunbird - Cinnyris jugularis,olbsun31
Sunbird,Palawan Sunbird - Cinnyris aurora,olbsun6
Sunbird,South Moluccan Sunbird - Cinnyris clementiae,olbsun1
Sunbird,Flores Sea Sunbird - Cinnyris teysmanni,olbsun8
Sunbird,Mamberamo Sunbird - Cinnyris idenburgi,olbsun9
Sunbird,Apricot-breasted Sunbird - Cinnyris buettikoferi,apbsun2
Sunbird,Flame-breasted Sunbird - Cinnyris solaris,flbsun2
Sunbird,Souimanga Sunbird - Cinnyris sovimanga,sousun2
Sunbird,Malagasy Sunbird - Cinnyris notatus,madsun1
Sunbird,Seychelles Sunbird - Cinnyris dussumieri,seysun2
Sunbird,Humblot's Sunbird - Cinnyris humbloti,humsun2
Sunbird,Anjouan Sunbird - Cinnyris comorensis,anjsun2
Sunbird,Mayotte Sunbird - Cinnyris coquerellii,maysun2
Sunbird,Loten's Sunbird (Long-billed Sunbird) - Cinnyris lotenius,lobsun2
Sunbird,Elegant Sunbird - Aethopyga duyvenbodei,elesun1
Sunbird,Fire-tailed Sunbird - Aethopyga ignicauda,fitsun1
Sunbird,Black-throated Sunbird - Aethopyga saturata,bltsun1
Sunbird,Mrs. Gould's Sunbird - Aethopyga gouldiae,gousun1
Sunbird,Green-tailed Sunbird - Aethopyga nipalensis,grtsun1
Sunbird,Lovely Sunbird - Aethopyga shelleyi,lovsun1
Sunbird,Temminck's Sunbird - Aethopyga temminckii,temsun1
Sunbird,Javan Sunbird - Aethopyga mystacalis,scasun1
Sunbird,Vigors's Sunbird - Aethopyga vigorsii,wecsun1
Sunbird,Crimson Sunbird - Aethopyga siparaja,eacsun1
Sunbird,Magnificent Sunbird - Aethopyga magnifica,magsun1
Sunbird,Fork-tailed Sunbird - Aethopyga christinae,fotsun1
Sunbird,Handsome Sunbird - Aethopyga bella,hansun1
Sunbird,White-flanked Sunbird - Aethopyga eximia,whfsun1
Sunbird,Flaming Sunbird - Aethopyga flagrans,flasun1
Sunbird,Maroon-naped Sunbird - Aethopyga guimarasensis,mansun1
Sunbird,Metallic-winged Sunbird - Aethopyga pulcherrima,mewsun3
Sunbird,Lina's Sunbird - Aethopyga linaraborae,linsun1
Sunbird,Grey-hooded Sunbird - Aethopyga primigenia,gyhsun2
Sunbird,Apo Sunbird - Aethopyga boltoni,moasun1
Sunbird,Tboli Sunbird - Aethopyga tibolii,tbosun1
Malkoha,Raffles's Malkoha - Rhinortha chlorophaea,rafmal1
Malkoha,Blue Malkoha - Ceuthmochares aereus,yellow5
Malkoha,Green Malkoha - Ceuthmochares australis,yellow6
Malkoha,Sirkeer Malkoha - Taccocua leschenaultii,sirmal1
Malkoha,Red-billed Malkoha - Zanclostomus javanicus,rebmal2
Malkoha,Chestnut-breasted Malkoha - Phaenicophaeus curvirostris,chbmal2
Malkoha,Chestnut-bellied Malkoha - Phaenicophaeus sumatranus,chbmal1
Malkoha,Red-faced Malkoha - Phaenicophaeus pyrrhocephalus,refmal1
Malkoha,Blue-faced Malkoha - Phaenicophaeus viridirostris,blfmal1
Malkoha,Black-bellied Malkoha - Phaenicophaeus diardi,blbmal1
Malkoha,Green-billed Malkoha - Phaenicophaeus tristis,grbmal1
Malkoha,Yellow-billed Malkoha - Rhamphococcyx calyorhynchus,yebmal1
