Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name,name,id
,,,,vigions,,,,,Flycatcher,Indian Paradise-Flycatcher - Terpsiphone paradisi,aspfly1
,,,,common teel,,,,,Common Teal,Green-winged Teal (Common Teal) - Anas crecca,gnwtea
,,,,Twany eagle,,,,,Tawny eagle,Tawny Eagle - Aquila rapax,taweag1
,,,,Myna,,,,,Myna,Common Myna - Acridotheres tristis,commyn
,,,,L Egerets,,23,,,Large Egrets,Great Egret - Ardea alba,greegr
,,,,Cattle egrets,,21,,,Cattle Egrets,Western/Eastern Cattle Egret - Bubulcus ibis/coromandus,
,,,,red rumped swallow,,Over 100+200,,,Red-rumped Swallow,Red-rumped Swallow - Cecropis daurica,rerswa1
,,,,Dabchick,,,,,Dabchick,Little Grebe - Tachybaptus ruficollis,litgre1
,,,,little commonds,,50,,,Little Cormorant,Little Cormorant - Microcarbo niger,litcor1
,,,,white ringed plover,,12,,,White-ringed Plover,Little Ringed Plover - Charadrius dubius,lirplo
,,,,pintail,,20,,,Pintail,Northern Pintail - Anas acuta,norpin
,,,,Comon sandpiper,,2,,,Common Sandpiper,Common Sandpiper - Actitis hypoleucos,comsan
,,,,Large grey babbler,,3,,,Large Grey Babbler,Large Grey Babbler - Argya malcolmi,lagbab2
10-1-98,4:15 pm – 6:00 pm,,"Clear Sky, Bright sunshine",red whiskered bulbul,,,,,Red-whiskered Bulbul,Red-whiskered Bulbul - Pycnonotus jocosus,rewbul
,,,,coppersmith,,,,,Coppersmith,Coppersmith Barbet - Psilopogon haemacephalus,copbar1
,,,,Iora,heard,,,,Iora,Common Iora - Aegithina tiphia,comior1
,,,,koel,,,,,Koel,Asian Koel - Eudynamys scolopaceus,asikoe2
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,pond heron,,,,,Pond Heron,Indian Pond-Heron - Ardeola grayii,inpher1
,,,,oriole,,,F,,Oriole,Indian Golden Oriole - Oriolus kundoo,ingori1
,,,,sunbird,,,,,Sunbird,Loten's Sunbird (Long-billed Sunbird) - Cinnyris lotenius,lobsun2
,,,,grey drongo,,,,,grey drongo,Ashy Drongo - Dicrurus leucophaeus,ashdro1
,,,,red vented bulbul,,,,,Red-vented Bulbul,Red-vented Bulbul - Pycnonotus cafer,revbul
,,,,purple rumped sunbird,,,,,Purple-rumped Sunbird,Purple-rumped Sunbird - Leptocoma zeylonica,pursun3
,,,,grey shrike,,,,,grey shrike,Great Grey Shrike - Lanius excubitor,norshr1
,,,,spotted dove,,,,,Spotted Dove,Spotted Dove - Spilopelia chinensis,spodov
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet,Rose-ringed Parakeet - Psittacula krameri,rorpar
,,,,White Headed Babbler,,,,,White-headed babbler,Yellow-billed Babbler - Argya affinis,yebbab1
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher,White-throated Kingfisher - Halcyon smyrnensis,whtkin2
,,,,golden backed woodpecker,heard,,,,golden-backed woodpecker,Black-rumped Flameback (Lesser Goldenbacked Woodpecker) - Dinopium benghalense,bkrfla1
,,,,White breasted water hen,,,,,White-breasted waterhen,White-breasted Waterhen - Amaurornis phoenicurus,whbwat1
,,,,dove,,,,,dove,Asian Emerald Dove - Chalcophaps indica,emedov2
,,,,egeret,,,,,egret,Intermediate Egret (Medium Egret) - Ardea intermedia,integr1
,,,,dabchick,,7+1+1,,,dabchick,Little Grebe - Tachybaptus ruficollis,litgre1
,,,,Common bee eater,,,,,Common Bee Eater,Asian Green Bee-eater - Merops orientalis,grnbee3
