Date,Time,Location,Weather,Bird Species,Notes,Count,Sex,Comments,corrected_name
,,,,egret,,,,,egret
,,,,shikra,,,,,Shikra
,,,,long tailed night jar,,,,,Long-tailed Nightjar
,,,,paradise fly catcher,,,,,Paradise Flycatcher
,,,,ashy crowned finch lark,,,,,Ashy-crowned finch lark
,,,,House swift,,,,,House Swift
,,,,bush lark,,,,"vegetation: Dodonia vescosa, lantana, dwarf acacia",Bush Lark
,,,,merlin?,,,,,Merlin
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,baya weaver bird,,,,Nest seen,Baya weaver
,,,,Indian roller,,,,,Indian Roller
,,,,bush lark,,,,,Bush Lark
,,,,small green beeeater,,,,,Small Green Bee-eater
,,,,tree pie,,,,,Treepie
23-1-98,,,"Clear Sky, Sunny",purple sunbird,,2 pairs,,,Purple Sunbird
,,,,purple rumped sunbird,,2 pairs,,,Purple-rumped Sunbird
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,red whiskered bulbul,,,,,Red-whiskered Bulbul
,,,,grey drongo,,,,,grey drongo
,,,,coppersmith,,,,,Coppersmith
,,,,hair creasted drongo,,,,Juvenile,Hair-crested Drongo
,,,,spotted dove,,,,,Spotted Dove
,,,,spotted munia,,,,,Spotted Munia
,,,,pied wagtail,,,,,Pied Wagtail
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,small green beeeater,,,,,Small Green Bee-eater
,,,,common myna,,,,,Common Myna
,,,,pond heron,,,,,Pond Heron
26-1-98,4:15 pm - ,,"Clear Sky, Sunny",median egeret,,,,,Median Egret
,,,,pied wagtail,,,,,Pied Wagtail
,,,,little egret,,,,,Little Egret
,,,,dabchick,,,,,dabchick
,,,,pond heron,,,,,Pond Heron
,,,,cattle egeret,,,,,Cattle Egret
,,,,Indian robin,,,,,Indian Robin
,,,,little green beeeater,,,,,Little Green Bee-eater
,,,,Warbler ?,,,,,Warbler
,,,,neophron,,,,,Neophron
,,,,Twany eagle,,,,,Tawny eagle
,,,,house swift,,,,,House Swift
,,,,shikra,,,,,Shikra
,,,,red wattled lapwing,,,,,Red-wattled Lapwing
,,,,little brown dove,,,,,Little Brown Dove
,,,,white throated munia,,,,,White-throated Munia
,,,,bush lark,,,,,Bush Lark
,,,,black eagle,,,,,Black eagle
,,,,pied bushchat,,,,,Pied Bushchat
,,,,blue rock pigeon,,,,,Blue Rock Pigeon
,,,,red vented bulbul,,,,,Red-vented Bulbul
,,,,common swallow,,,,,Common Swallow
,,,,singing bush lark,,,,,Singing Bush Lark
,,,,Black Drongo,,,,,Black Drongo
,,,,reed warbler,,,,,Reed Warbler
,,,,myna,,,,,Myna
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
,,,,bush chat,,,,,Bush Chat
,,,,ashy crowned finch lark,,,,,Ashy-crowned finch lark
,,,,Rose Ringed Parakeet,,,,,Rose-ringed Parakeet
,,,,purple sunbird,,,,,Purple Sunbird
,,,,roufous backed shrike,,,,,Rufous-backed Shrike
,,,,black winged kite,,,,,Black-winged kite
14-2-98,4:45 pm - ,,"Clear Sky, Sunny",hair creasted drongo,seen,,,,Hair-crested Drongo
,,,,green reed warbler,seen,,,,green reed warbler
,,,,railor bird,seen,,,,Railor Bird
,,,,greenish leaf warbler,seen,,,,greenish leaf warbler
,,,,purple rumped sunbird,seen,,,,Purple-rumped Sunbird
,,,,shikra,seen,,,,Shikra
,,,,coppersmith,heard,,,,Coppersmith
,,,,white browed bulbul,heard,,,,White-browed Bulbul
,,,,little brown dove,heard,,,,Little Brown Dove
20-6-98,4:30 pm – 6:00 pm,,Cloudy Sky,red vented bulbul,seen,,,,Red-vented Bulbul
,,,,spotted dove,seen,,,,Spotted Dove
,,,,red whiskered bulbul,seen,,,,Red-whiskered Bulbul
,,,,pariah kite,seen,,,,Pariah Kite
,,,,purple rumped sunbird,seen,,,,Purple-rumped Sunbird
,,,,purple sunbird,seen,,,,Purple Sunbird
,,,,green bee eater,seen,,,,green bee-eater
,,,,munia,seen,,,,Munia
,,,,coppersmith,seen,,,,Coppersmith
,,,,Malcoha,seen,,,,Malkoha
,,,,Scavenger vulture,seen,,,,Scavenger Vulture
,,,,white eyed buzzard,seen,,,,White-eyed Buzzard
,,,,little brown dove,seen,,,,Little Brown Dove
,,,,Shikra,seen,,,,Shikra
,,,,tailor bird,heard,,,,Tailorbird
4-7-98,4:30 pm – 6:00 pm,,Cloudy Sky,Bee eater,,,,,Bee Eater
,,,,Iora,,,,,Iora
,,,,white browed bulbul,,,,,White-browed Bulbul
,,,,spotted dove,,,,,Spotted Dove
4-7-98,4:30 pm – 6:00 pm,,Cloudy Sky,Dove,,,,,Dove
,,,,Lotan sunbird,,,,,Loten Sunbird
,,,,white breasted kingfisher,,,,,White-breasted Kingfisher
15-8-98,,,Cloudy Sky,ashywren warbler,,,,,Ashy-wren warbler
